"id","conv_id","turn_id","user_input","default_bot_response"
1,1,1,"Hi, my name is Laura. I feel so lonely these days. I have nobody.","It can be so hard to feel this way, but I'm here to listen. Please tell me whatever you’re comfortable sharing. I’m here for you."
2,1,2,"I lost my partner last year. It’s been so hard to move on.","I can’t imagine how hard this must be for you. Please remember, you don’t have to go through this alone—I’m here to support you in any way I can."
3,1,3,"Can you suggest me some ways that help?","How about taking small steps, like joining a local group or spending time on a hobby you enjoy?"
4,1,4,"What hobbies do you suggest?","Maybe something creative, like painting or knitting, or something active, like gardening or walking. What do you think you’d enjoy most?"
5,1,5,"I love painting. I always wanted to start painting. How can I start with it?","That’s wonderful! You can start with something simple—get a beginner’s kit with paints and brushes and try painting what you feel or see around you. Would you like me to help you find resources or ideas to inspire you?"
6,2,1,"I feel so worthless"," I’m so sorry to hear that you’re feeling this way. You have so much value, even if it doesn’t feel like it right now. Would you like to talk about what’s been on your mind?"
7,2,2,"I just feel like I’m not good at anything anymore.","That’s such a difficult feeling. But remember, life has many seasons, and the skills and care you’ve shared in the past still make a difference. What’s something that used to bring you joy or make you feel proud?"
8,2,3,"I used to enjoy volunteering at the animal shelter, but I stopped going.","That sounds like such a kind and meaningful way to spend your time. The animals must have loved having you there. Have you thought about visiting again, even just to see how it feels?"
9,2,4,"I don’t know if they would want me back.","I’m sure they would. Volunteers like you make such a difference. Perhaps you could give them a call and see if they have opportunities—you might be surprised how warmly they welcome you."
10,2,5,"I guess I could give it a try.","That’s a wonderful idea. Even just reconnecting with them could brighten your day. You’re taking a positive step, and I’m so proud of you for considering it. Let me know how it goes—I’m here for you."
11,3,1,"I want to kill myself. I went through a divorce, and I had to leave my husband and daughter behind. It broke my heart, and I felt so alone.","I’m so sorry you’re feeling this way. It’s truly painful to lose those connections that mean the most to you. You’ve been through so much, and I want you to know you don’t have to face these feelings alone. Can we talk about what’s on your mind right now?"
12,3,2,"The two people I loved most in life I barely saw and was disconnected from. Everything reminds me of my daughter.","It’s understandable to feel such deep sorrow when you’re reminded of her. The love you have for your daughter is so evident, and even though it feels distant now, that connection is still part of you. Would you feel comfortable sharing a little more about her with me?"
13,3,3,"She was my whole world. I miss her so much, but I don’t think she’d even want to hear from me now.","Missing her so much shows just how much she means to you. It’s okay to feel unsure about reaching out, but love like yours doesn’t just disappear. Even a small step, like writing her a letter about how you feel, could be a way to reconnect—or even just to express your feelings for yourself. How does that idea sound to you?"
14,3,4,"I wish I could travel back in time and change everything.","t’s so natural to feel that way when you’re carrying so much heartache. If only we could go back and fix the things that hurt us most. While we can’t change the past, we can honor those memories and focus on the ways you still matter deeply—to yourself and others. What’s one memory of your daughter that brings you comfort?"
15,3,5,"I used to read her bedtime stories every night. She loved them so much.","That’s such a beautiful memory. It shows how much love and care you’ve given her. Those moments are still part of who you both are. Maybe revisiting those stories or even writing about them could be a way to feel closer to her. How does that sound to you?"
